mumber    weight     parent   lchild    rchild
1 186 50 0 0 
2 64 45 0 0 
3 13 33 0 0 
4 22 37 0 0 
5 32 39 0 0 
6 103 48 0 0 
7 21 36 0 0 
8 15 33 0 0 
9 47 41 0 0 
10 57 43 0 0 
11 1 28 0 0 
12 5 31 0 0 
13 32 39 0 0 
14 20 36 0 0 
15 57 43 0 0 
16 63 44 0 0 
17 15 34 0 0 
18 1 28 0 0 
19 48 42 0 0 
20 51 42 0 0 
21 80 46 0 0 
22 23 37 0 0 
23 8 32 0 0 
24 18 35 0 0 
25 1 29 0 0 
26 16 34 0 0 
27 1 29 0 0 
28 2 30 11 18 
29 2 30 25 27 
30 4 31 28 29 
31 9 32 30 12 
32 17 35 23 31 
33 28 38 3 8 
34 31 38 17 26 
35 35 40 32 24 
36 41 40 14 7 
37 45 41 4 22 
38 59 44 33 34 
39 64 45 5 13 
40 76 46 35 36 
41 92 47 37 9 
42 99 47 19 20 
43 114 48 10 15 
44 122 49 38 16 
45 128 49 2 39 
46 156 50 40 21 
47 191 51 41 42 
48 217 51 6 43 
49 250 52 44 45 
50 342 52 46 1 
51 408 53 47 48 
52 592 53 49 50 
53 1000 0 51 52 
